timestamp,uptimeInS,bootCount,lastResetCause,powerAmplifierTemperature,quartzTemperature,isTxOn,lastSyncRssi,averageSyncRssi,lastPacketRssi,averagePacketRssi,environmentRssi,txPacketCounter,txByteCounter,rxPacketCounter,rxByteCounter,badCrcCounter,beaconTxCounter,gsWdtTimeLeftInS,
978911658,1059,484,201326592,28,29,1,32768,32768,32768,32768,-129,93,8680,0,0,0,31,71991,
978911663,1064,484,201326592,28,29,1,32768,32768,32768,32768,-130,93,8680,0,0,0,31,71986,
978911668,1069,484,201326592,28,29,1,32768,32768,32768,32768,-131,93,8680,0,0,0,31,71981,
978911673,1074,484,201326592,28,29,1,32768,32768,32768,32768,-131,93,8680,0,0,0,31,71976,
978911678,1079,484,201326592,28,29,1,32768,32768,32768,32768,-131,93,8680,0,0,0,31,71971,
978911683,1084,484,201326592,28,29,1,32768,32768,32768,32768,-130,93,8680,0,0,0,31,71966,
978911688,1089,484,201326592,29,30,1,32768,32768,32768,32768,-130,96,8960,0,0,0,32,71961,
978911693,1095,484,201326592,28,30,1,32768,32768,32768,32768,-131,96,8960,0,0,0,32,71955,
978911698,1100,484,201326592,28,30,1,32768,32768,32768,32768,-130,96,8960,0,0,0,32,71950,
978911704,1105,484,201326592,28,30,1,32768,32768,32768,32768,-131,96,8960,0,0,0,32,71945,
978911709,1110,484,201326592,28,30,1,32768,32768,32768,32768,-130,96,8960,0,0,0,32,71940,
978911714,1115,484,201326592,28,30,1,32768,32768,32768,32768,-130,96,8960,0,0,0,32,71935,
978911719,1121,484,201326592,29,30,1,32768,32768,32768,32768,-130,99,9240,0,0,0,33,71929,
978911724,1126,484,201326592,29,30,1,32768,32768,32768,32768,-130,99,9240,0,0,0,33,71924,
978911730,1131,484,201326592,29,30,1,32768,32768,32768,32768,-130,99,9240,0,0,0,33,71919,
978911735,1136,484,201326592,29,30,1,32768,32768,32768,32768,-129,99,9240,0,0,0,33,71914,
978911740,1141,484,201326592,29,30,1,32768,32768,32768,32768,-131,99,9240,0,0,0,33,71909,
978911745,1146,484,201326592,29,30,1,32768,32768,32768,32768,-130,99,9240,0,0,0,33,71904,
978911750,1151,484,201326592,29,30,1,32768,32768,32768,32768,-132,102,9520,0,0,0,34,71899,
978911755,1156,484,201326592,29,30,1,32768,32768,32768,32768,-132,102,9520,0,0,0,34,71894,
978911760,1161,484,201326592,29,30,1,32768,32768,32768,32768,-130,102,9520,0,0,0,34,71889,
978911765,1166,484,201326592,29,30,1,32768,32768,32768,32768,-130,102,9520,0,0,0,34,71884,
978911770,1172,484,201326592,29,30,1,32768,32768,32768,32768,-132,102,9520,0,0,0,34,71878,
