Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
1;21,4;°C;23.03.22 8:15:58,2;0:01:00,4;23.03.22 8:15:58,2;21,4;°C;21,1432098765432;°C;23.03.22 8:16:57,5;20,9;°C;Interval;23.03.22 8:16:58,6
2;20,9;°C;23.03.22 8:16:58,6;0:00:59,6;23.03.22 8:17:02,0;21;°C;20,830625;°C;23.03.22 8:17:06,0;20,8;°C;Interval;23.03.22 8:17:58,3
3;20,8;°C;23.03.22 8:17:58,3;0:01:00,1;23.03.22 8:17:59,7;20,9;°C;20,7242236024845;°C;23.03.22 8:18:04,2;20,7;°C;Interval;23.03.22 8:18:58,4
4;20,7;°C;23.03.22 8:18:58,4;0:01:00,0;23.03.22 8:19:54,3;20,8;°C;20,6590062111801;°C;23.03.22 8:19:12,1;20,6;°C;Interval;23.03.22 8:19:58,3
5;20,7;°C;23.03.22 8:19:58,3;0:01:00,1;23.03.22 8:20:33,5;20,8;°C;20,6782608695652;°C;23.03.22 8:20:00,6;20,6;°C;Interval;23.03.22 8:20:58,4
6;20,7;°C;23.03.22 8:20:58,4;0:01:00,1;23.03.22 8:21:21,6;20,8;°C;20,7391304347826;°C;23.03.22 8:21:10,7;20,6;°C;Interval;23.03.22 8:21:58,5
7;20,8;°C;23.03.22 8:21:58,5;0:00:59,9;23.03.22 8:22:35,4;21;°C;20,876397515528;°C;23.03.22 8:21:58,5;20,8;°C;Interval;23.03.22 8:22:58,5
8;20,9;°C;23.03.22 8:22:58,5;0:00:59,8;23.03.22 8:22:58,9;21;°C;20,92;°C;23.03.22 8:23:14,1;20,8;°C;Interval;23.03.22 8:23:58,3
9;21;°C;23.03.22 8:23:58,3;0:01:00,0;23.03.22 8:23:58,3;21;°C;20,9335403726708;°C;23.03.22 8:24:00,0;20,9;°C;Interval;23.03.22 8:24:58,2
10;20,9;°C;23.03.22 8:24:58,2;0:01:00,1;23.03.22 8:24:58,7;21;°C;20,8807453416149;°C;23.03.22 8:25:05,7;20,8;°C;Interval;23.03.22 8:25:58,3
11;20,9;°C;23.03.22 8:25:58,3;0:01:00,1;23.03.22 8:26:09,2;21;°C;20,9006211180124;°C;23.03.22 8:26:02,8;20,8;°C;Interval;23.03.22 8:26:58,4
12;20,9;°C;23.03.22 8:26:58,4;0:01:00,0;23.03.22 8:26:59,9;21;°C;20,904347826087;°C;23.03.22 8:27:23,4;20,8;°C;Interval;23.03.22 8:27:58,4
13;20,9;°C;23.03.22 8:27:58,4;0:01:00,1;23.03.22 8:28:05,6;21;°C;20,9385093167702;°C;23.03.22 8:28:45,9;20,8;°C;Interval;23.03.22 8:28:58,5
14;20,9;°C;23.03.22 8:28:58,5;0:01:00,1;23.03.22 8:29:15,3;21,1;°C;20,9621118012422;°C;23.03.22 8:28:58,5;20,9;°C;Interval;23.03.22 8:29:58,6
15;20,9;°C;23.03.22 8:29:58,6;0:00:59,6;23.03.22 8:30:19,9;21;°C;20,9075;°C;23.03.22 8:30:03,4;20,8;°C;Interval;23.03.22 8:30:58,3
16;20,9;°C;23.03.22 8:30:58,3;0:01:00,1;23.03.22 8:30:58,6;21;°C;20,9391304347826;°C;23.03.22 8:31:11,4;20,8;°C;Interval;23.03.22 8:31:58,4
17;20,9;°C;23.03.22 8:31:58,4;0:01:00,0;23.03.22 8:31:59,5;21;°C;20,9186335403727;°C;23.03.22 8:31:58,4;20,9;°C;Interval;23.03.22 8:32:58,3
18;20,9;°C;23.03.22 8:32:58,3;0:01:00,1;23.03.22 8:32:59,9;21;°C;20,9055900621118;°C;23.03.22 8:33:26,3;20,8;°C;Interval;23.03.22 8:33:58,5
