time; timestamp; t_delta; target; angle
05/13/2022, 10:58:27; 1652432307.1416104; 10.082472562789917; 0.667614; 0.667614
05/13/2022, 10:58:37; 1652432317.2255633; 20.166425466537476; 1.335227; 1.321023
05/13/2022, 10:58:47; 1652432327.3055468; 30.246408939361572; 2.002841; 1.988636
05/13/2022, 10:58:57; 1652432337.3880308; 40.328892946243286; 2.684659; 2.670454
05/13/2022, 10:59:07; 1652432347.4684026; 50.40926480293274; 3.352273; 3.352273
05/13/2022, 10:59:17; 1652432357.5522823; 60.493144512176514; 4.019886; 4.005682
05/13/2022, 10:59:27; 1652432367.63585; 70.57671213150024; 4.701705; 4.715909
05/13/2022, 10:59:37; 1652432377.7154975; 80.65635967254639; 5.369318; 5.355113
05/13/2022, 10:59:47; 1652432387.7996383; 90.74050045013428; 6.036932; 6.036932
05/13/2022, 10:59:57; 1652432397.8816564; 100.82251858711243; 6.71875; 6.71875
05/13/2022, 11:00:07; 1652432407.9653518; 110.90621399879456; 7.386364; 7.386363
05/13/2022, 11:00:18; 1652432418.0452921; 120.98615431785583; 8.053977; 8.053977
05/13/2022, 11:00:28; 1652432428.1276107; 131.06847286224365; 8.735795; 8.721591
05/13/2022, 11:00:38; 1652432438.2095504; 141.15041255950928; 9.403409; 9.403409
05/13/2022, 11:00:48; 1652432448.2946851; 151.23554730415344; 10.071023; 10.071023
05/13/2022, 11:00:58; 1652432458.380389; 161.32125115394592; 10.752841; 10.738636
05/13/2022, 11:01:08; 1652432468.466571; 171.40743327140808; 11.420455; 11.420455
05/13/2022, 11:01:18; 1652432478.5519638; 181.49282598495483; 12.088068; 12.073864
05/13/2022, 11:01:28; 1652432488.637814; 191.57867622375488; 12.769886; 12.755682
05/13/2022, 11:01:38; 1652432498.7236032; 201.66446542739868; 13.4375; 13.4375
05/13/2022, 11:01:48; 1652432508.810583; 211.7514452934265; 14.105114; 14.105114
05/13/2022, 11:01:58; 1652432518.8957548; 221.83661699295044; 14.786932; 14.772727
