FLUKE 289,  V1.16,  32940021

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,0.007534,A AC,21/10/2022 9:45:37.8,0:00:00.3,21/10/2022 9:45:38.0,0.007543,A AC,0.00753766666666667,A AC,21/10/2022 9:45:37.8,0.007534,A AC,Interval,21/10/2022 9:45:38.1
2,0.007553,A AC,21/10/2022 9:45:38.1,0:00:01.0,21/10/2022 9:45:39.0,0.007602,A AC,0.0075793,A AC,21/10/2022 9:45:38.1,0.007553,A AC,Interval,21/10/2022 9:45:39.1
3,0.007609,A AC,21/10/2022 9:45:39.1,0:00:00.9,21/10/2022 9:45:39.1,0.007609,A AC,0.00757011111111111,A AC,21/10/2022 9:45:39.9,0.007515,A AC,Interval,21/10/2022 9:45:40.0
4,0.007505,A AC,21/10/2022 9:45:40.0,0:00:01.0,21/10/2022 9:45:40.0,0.007505,A AC,0.0074517,A AC,21/10/2022 9:45:40.8,0.007416,A AC,Interval,21/10/2022 9:45:41.0
5,0.007436,A AC,21/10/2022 9:45:41.0,0:00:01.0,21/10/2022 9:45:41.9,0.007557,A AC,0.0074987,A AC,21/10/2022 9:45:41.0,0.007436,A AC,Interval,21/10/2022 9:45:42.0
6,0.007565,A AC,21/10/2022 9:45:42.0,0:00:01.0,21/10/2022 9:45:42.8,0.007632,A AC,0.0075951,A AC,21/10/2022 9:45:42.0,0.007565,A AC,Interval,21/10/2022 9:45:43.0
7,0.007633,A AC,21/10/2022 9:45:43.0,0:00:01.0,21/10/2022 9:45:43.0,0.007633,A AC,0.0075729,A AC,21/10/2022 9:45:44.0,0.007512,A AC,Interval,21/10/2022 9:45:44.1
8,0.007502,A AC,21/10/2022 9:45:44.1,0:00:01.0,21/10/2022 9:45:44.1,0.007502,A AC,0.0074775,A AC,21/10/2022 9:45:44.6,0.007459,A AC,Interval,21/10/2022 9:45:45.1
9,0.007505,A AC,21/10/2022 9:45:45.1,0:00:01.0,21/10/2022 9:45:45.7,0.007585,A AC,0.0075575,A AC,21/10/2022 9:45:45.1,0.007505,A AC,Interval,21/10/2022 9:45:46.1
10,0.007585,A AC,21/10/2022 9:45:46.1,0:00:01.0,21/10/2022 9:45:46.7,0.007643,A AC,0.0076182,A AC,21/10/2022 9:45:46.1,0.007585,A AC,Interval,21/10/2022 9:45:47.1
11,0.007618,A AC,21/10/2022 9:45:47.1,0:00:01.0,21/10/2022 9:45:47.1,0.007618,A AC,0.0075553,A AC,21/10/2022 9:45:48.0,0.007498,A AC,Interval,21/10/2022 9:45:48.1
12,0.007485,A AC,21/10/2022 9:45:48.1,0:00:01.0,21/10/2022 9:45:49.0,0.007519,A AC,0.0074823,A AC,21/10/2022 9:45:48.5,0.007465,A AC,Interval,21/10/2022 9:45:49.1
13,0.007538,A AC,21/10/2022 9:45:49.1,0:00:01.0,21/10/2022 9:45:50.0,0.007605,A AC,0.0075802,A AC,21/10/2022 9:45:49.1,0.007538,A AC,Interval,21/10/2022 9:45:50.1
14,0.007609,A AC,21/10/2022 9:45:50.1,0:00:01.0,21/10/2022 9:45:50.6,0.007648,A AC,0.0076289,A AC,21/10/2022 9:45:51.0,0.007603,A AC,Interval,21/10/2022 9:45:51.1
15,0.007584,A AC,21/10/2022 9:45:51.1,0:00:01.0,21/10/2022 9:45:51.1,0.007584,A AC,0.0075097,A AC,21/10/2022 9:45:52.0,0.007436,A AC,Interval,21/10/2022 9:45:52.1
16,0.007421,A AC,21/10/2022 9:45:52.1,0:00:01.0,21/10/2022 9:45:53.0,0.007521,A AC,0.0074583,A AC,21/10/2022 9:45:52.1,0.007421,A AC,Interval,21/10/2022 9:45:53.1
17,0.007531,A AC,21/10/2022 9:45:53.1,0:00:01.0,21/10/2022 9:45:54.0,0.007639,A AC,0.007575,A AC,21/10/2022 9:45:53.1,0.007531,A AC,Interval,21/10/2022 9:45:54.1
18,0.007646,A AC,21/10/2022 9:45:54.1,0:00:01.0,21/10/2022 9:45:54.4,0.007667,A AC,0.0076446,A AC,21/10/2022 9:45:55.0,0.007592,A AC,Interval,21/10/2022 9:45:55.1
19,0.007573,A AC,21/10/2022 9:45:55.1,0:00:01.0,21/10/2022 9:45:55.1,0.007573,A AC,0.007518,A AC,21/10/2022 9:45:56.0,0.007446,A AC,Interval,21/10/2022 9:45:56.1
20,0.00745,A AC,21/10/2022 9:45:56.1,0:00:00.9,21/10/2022 9:45:56.9,0.00756,A AC,0.00750277777777778,A AC,21/10/2022 9:45:56.1,0.00745,A AC,Interval,21/10/2022 9:45:57.0
21,0.007573,A AC,21/10/2022 9:45:57.0,0:00:01.0,21/10/2022 9:45:57.7,0.007663,A AC,0.0076196,A AC,21/10/2022 9:45:57.0,0.007573,A AC,Interval,21/10/2022 9:45:58.0
22,0.00766,A AC,21/10/2022 9:45:58.0,0:00:01.0,21/10/2022 9:45:58.1,0.007665,A AC,0.0076308,A AC,21/10/2022 9:45:58.9,0.007563,A AC,Interval,21/10/2022 9:45:59.0
23,0.007547,A AC,21/10/2022 9:45:59.0,0:00:01.0,21/10/2022 9:45:59.0,0.007547,A AC,0.0075038,A AC,21/10/2022 9:45:59.6,0.007481,A AC,Interval,21/10/2022 9:46:00.1
24,0.007491,A AC,21/10/2022 9:46:00.1,0:00:01.0,21/10/2022 9:46:01.0,0.007589,A AC,0.0075405,A AC,21/10/2022 9:46:00.1,0.007491,A AC,Interval,21/10/2022 9:46:01.1
25,0.007589,A AC,21/10/2022 9:46:01.1,0:00:01.0,21/10/2022 9:46:02.0,0.007665,A AC,0.0076067,A AC,21/10/2022 9:46:01.5,0.007578,A AC,Interval,21/10/2022 9:46:02.1
26,0.007661,A AC,21/10/2022 9:46:02.1,0:00:01.0,21/10/2022 9:46:02.1,0.007661,A AC,0.0076035,A AC,21/10/2022 9:46:03.0,0.007537,A AC,Interval,21/10/2022 9:46:03.1
27,0.007519,A AC,21/10/2022 9:46:03.1,0:00:01.0,21/10/2022 9:46:03.1,0.007519,A AC,0.0074705,A AC,21/10/2022 9:46:03.9,0.007444,A AC,Interval,21/10/2022 9:46:04.1
28,0.00745,A AC,21/10/2022 9:46:04.1,0:00:01.0,21/10/2022 9:46:05.0,0.00755,A AC,0.0075106,A AC,21/10/2022 9:46:04.1,0.00745,A AC,Interval,21/10/2022 9:46:05.1
29,0.00756,A AC,21/10/2022 9:46:05.1,0:00:01.0,21/10/2022 9:46:05.9,0.007643,A AC,0.0075975,A AC,21/10/2022 9:46:05.1,0.00756,A AC,Interval,21/10/2022 9:46:06.1
30,0.00763,A AC,21/10/2022 9:46:06.1,0:00:01.0,21/10/2022 9:46:06.1,0.00763,A AC,0.0075671,A AC,21/10/2022 9:46:07.0,0.007509,A AC,Interval,21/10/2022 9:46:07.1
31,0.007494,A AC,21/10/2022 9:46:07.1,0:00:01.0,21/10/2022 9:46:08.0,0.007498,A AC,0.0074701,A AC,21/10/2022 9:46:07.5,0.007448,A AC,Interval,21/10/2022 9:46:08.1
32,0.007511,A AC,21/10/2022 9:46:08.1,0:00:01.0,21/10/2022 9:46:09.0,0.007579,A AC,0.0075564,A AC,21/10/2022 9:46:08.1,0.007511,A AC,Interval,21/10/2022 9:46:09.1
33,0.007589,A AC,21/10/2022 9:46:09.1,0:00:01.0,21/10/2022 9:46:09.7,0.007641,A AC,0.0076175,A AC,21/10/2022 9:46:09.1,0.007589,A AC,Interval,21/10/2022 9:46:10.1
34,0.007572,A AC,21/10/2022 9:46:10.1,0:00:01.0,21/10/2022 9:46:10.1,0.007572,A AC,0.0075012,A AC,21/10/2022 9:46:11.0,0.007441,A AC,Interval,21/10/2022 9:46:11.1
35,0.007433,A AC,21/10/2022 9:46:11.1,0:00:01.0,21/10/2022 9:46:12.0,0.007538,A AC,0.0074634,A AC,21/10/2022 9:46:11.2,0.007424,A AC,Interval,21/10/2022 9:46:12.1
36,0.007547,A AC,21/10/2022 9:46:12.1,0:00:01.0,21/10/2022 9:46:13.0,0.007603,A AC,0.0075769,A AC,21/10/2022 9:46:12.1,0.007547,A AC,Interval,21/10/2022 9:46:13.1
37,0.00761,A AC,21/10/2022 9:46:13.1,0:00:01.0,21/10/2022 9:46:13.4,0.007644,A AC,0.0076141,A AC,21/10/2022 9:46:14.0,0.007545,A AC,Interval,21/10/2022 9:46:14.1
38,0.007527,A AC,21/10/2022 9:46:14.1,0:00:00.9,21/10/2022 9:46:14.1,0.007527,A AC,0.00747488888888889,A AC,21/10/2022 9:46:14.9,0.007436,A AC,Interval,21/10/2022 9:46:15.0
39,0.00743,A AC,21/10/2022 9:46:15.0,0:00:01.0,21/10/2022 9:46:15.9,0.007515,A AC,0.0074607,A AC,21/10/2022 9:46:15.1,0.007427,A AC,Interval,21/10/2022 9:46:16.0
40,0.00753,A AC,21/10/2022 9:46:16.0,0:00:01.0,21/10/2022 9:46:16.9,0.007575,A AC,0.0075553,A AC,21/10/2022 9:46:16.0,0.00753,A AC,Interval,21/10/2022 9:46:17.0
41,0.007585,A AC,21/10/2022 9:46:17.0,0:00:01.0,21/10/2022 9:46:17.2,0.007605,A AC,0.007581,A AC,21/10/2022 9:46:17.8,0.007548,A AC,Interval,21/10/2022 9:46:18.1
42,0.007542,A AC,21/10/2022 9:46:18.1,0:00:01.0,21/10/2022 9:46:18.1,0.007542,A AC,0.0075032,A AC,21/10/2022 9:46:18.9,0.007472,A AC,Interval,21/10/2022 9:46:19.1
43,0.007484,A AC,21/10/2022 9:46:19.1,0:00:01.0,21/10/2022 9:46:19.9,0.007601,A AC,0.0075408,A AC,21/10/2022 9:46:19.1,0.007484,A AC,Interval,21/10/2022 9:46:20.1
44,0.00757,A AC,21/10/2022 9:46:20.1,0:00:01.0,21/10/2022 9:46:21.0,0.00764,A AC,0.0075935,A AC,21/10/2022 9:46:20.1,0.00757,A AC,Interval,21/10/2022 9:46:21.1
45,0.007654,A AC,21/10/2022 9:46:21.1,0:00:01.0,21/10/2022 9:46:21.1,0.007654,A AC,0.0076142,A AC,21/10/2022 9:46:22.0,0.007548,A AC,Interval,21/10/2022 9:46:22.1
46,0.007536,A AC,21/10/2022 9:46:22.1,0:00:01.0,21/10/2022 9:46:22.1,0.007536,A AC,0.0074935,A AC,21/10/2022 9:46:22.7,0.007471,A AC,Interval,21/10/2022 9:46:23.1
47,0.007491,A AC,21/10/2022 9:46:23.1,0:00:01.0,21/10/2022 9:46:24.0,0.007639,A AC,0.0075678,A AC,21/10/2022 9:46:23.1,0.007491,A AC,Interval,21/10/2022 9:46:24.1
48,0.007646,A AC,21/10/2022 9:46:24.1,0:00:01.0,21/10/2022 9:46:24.9,0.007682,A AC,0.0076638,A AC,21/10/2022 9:46:24.1,0.007646,A AC,Interval,21/10/2022 9:46:25.1
49,0.007672,A AC,21/10/2022 9:46:25.1,0:00:01.0,21/10/2022 9:46:25.1,0.007672,A AC,0.0076054,A AC,21/10/2022 9:46:26.0,0.007542,A AC,Interval,21/10/2022 9:46:26.1
50,0.007523,A AC,21/10/2022 9:46:26.1,0:00:01.0,21/10/2022 9:46:26.1,0.007523,A AC,0.0075001,A AC,21/10/2022 9:46:26.5,0.007488,A AC,Interval,21/10/2022 9:46:27.1
51,0.007526,A AC,21/10/2022 9:46:27.1,0:00:01.0,21/10/2022 9:46:28.0,0.007587,A AC,0.0075627,A AC,21/10/2022 9:46:27.1,0.007526,A AC,Interval,21/10/2022 9:46:28.1
52,0.007593,A AC,21/10/2022 9:46:28.1,0:00:01.0,21/10/2022 9:46:28.9,0.007646,A AC,0.0076229,A AC,21/10/2022 9:46:28.1,0.007593,A AC,Interval,21/10/2022 9:46:29.1
