FLUKE 289,  V1.16,  33850029

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,,Start Time,Duration,Max Time,Max,,Average,,Min Time,Min,,Description,Stop Time
1,4.8664,V DC,24/10/2022 9:31:57.1,0:00:00.4,24/10/2022 9:31:57.1,4.8664,V DC,4.8664,V DC,24/10/2022 9:31:57.1,4.8664,V DC,Interval,24/10/2022 9:31:57.5
2,4.8664,V DC,24/10/2022 9:31:57.5,0:00:01.0,24/10/2022 9:31:58.0,4.8666,V DC,4.86651,V DC,24/10/2022 9:31:57.5,4.8664,V DC,Interval,24/10/2022 9:31:58.5
3,4.8665,V DC,24/10/2022 9:31:58.5,0:00:01.0,24/10/2022 9:31:58.5,4.8665,V DC,4.86646,V DC,24/10/2022 9:31:59.4,4.8663,V DC,Interval,24/10/2022 9:31:59.5
4,4.8662,V DC,24/10/2022 9:31:59.5,0:00:01.0,24/10/2022 9:31:59.5,4.8662,V DC,4.86613,V DC,24/10/2022 9:31:59.8,4.8661,V DC,Interval,24/10/2022 9:32:00.5
5,4.8661,V DC,24/10/2022 9:32:00.5,0:00:01.0,24/10/2022 9:32:00.5,4.8661,V DC,4.8661,V DC,24/10/2022 9:32:00.5,4.8661,V DC,Interval,24/10/2022 9:32:01.5
6,4.8661,V DC,24/10/2022 9:32:01.5,0:00:01.0,24/10/2022 9:32:02.0,4.8671,V DC,4.86653,V DC,24/10/2022 9:32:01.5,4.8661,V DC,Interval,24/10/2022 9:32:02.5
7,4.8665,V DC,24/10/2022 9:32:02.5,0:00:01.0,24/10/2022 9:32:02.5,4.8665,V DC,4.8664,V DC,24/10/2022 9:32:03.3,4.8663,V DC,Interval,24/10/2022 9:32:03.6
8,4.8663,V DC,24/10/2022 9:32:03.6,0:00:01.0,24/10/2022 9:32:03.7,4.8664,V DC,4.86635,V DC,24/10/2022 9:32:03.6,4.8663,V DC,Interval,24/10/2022 9:32:04.6
9,4.8663,V DC,24/10/2022 9:32:04.6,0:00:00.9,24/10/2022 9:32:04.6,4.8663,V DC,4.86611111111111,V DC,24/10/2022 9:32:05.0,4.8659,V DC,Interval,24/10/2022 9:32:05.5
10,4.8658,V DC,24/10/2022 9:32:05.5,0:00:01.0,24/10/2022 9:32:06.0,4.8661,V DC,4.86599,V DC,24/10/2022 9:32:05.5,4.8658,V DC,Interval,24/10/2022 9:32:06.5
11,4.8661,V DC,24/10/2022 9:32:06.5,0:00:01.0,24/10/2022 9:32:07.2,4.8662,V DC,4.86612,V DC,24/10/2022 9:32:06.8,4.866,V DC,Interval,24/10/2022 9:32:07.5
12,4.8663,V DC,24/10/2022 9:32:07.5,0:00:01.0,24/10/2022 9:32:07.8,4.8678,V DC,4.86672,V DC,24/10/2022 9:32:08.0,4.8662,V DC,Interval,24/10/2022 9:32:08.5
13,4.8663,V DC,24/10/2022 9:32:08.5,0:00:01.2,24/10/2022 9:32:08.8,4.8665,V DC,4.866425,V DC,24/10/2022 9:32:08.5,4.8663,V DC,Interval,24/10/2022 9:32:09.7
14,4.866,V DC,24/10/2022 9:32:09.7,0:00:00.8,24/10/2022 9:32:09.9,4.8662,V DC,4.866075,V DC,24/10/2022 9:32:09.7,4.866,V DC,Interval,24/10/2022 9:32:10.5
15,4.8661,V DC,24/10/2022 9:32:10.5,0:00:01.0,24/10/2022 9:32:11.3,4.8662,V DC,4.86609,V DC,24/10/2022 9:32:11.2,4.866,V DC,Interval,24/10/2022 9:32:11.5
16,4.8662,V DC,24/10/2022 9:32:11.5,0:00:01.0,24/10/2022 9:32:11.5,4.8662,V DC,4.86607,V DC,24/10/2022 9:32:12.2,4.8659,V DC,Interval,24/10/2022 9:32:12.5
17,4.8661,V DC,24/10/2022 9:32:12.5,0:00:01.0,24/10/2022 9:32:12.5,4.8661,V DC,4.86607,V DC,24/10/2022 9:32:13.2,4.866,V DC,Interval,24/10/2022 9:32:13.5
18,4.866,V DC,24/10/2022 9:32:13.5,0:00:01.0,24/10/2022 9:32:13.5,4.866,V DC,4.86599,V DC,24/10/2022 9:32:14.2,4.8659,V DC,Interval,24/10/2022 9:32:14.5
19,4.866,V DC,24/10/2022 9:32:14.5,0:00:01.0,24/10/2022 9:32:14.5,4.866,V DC,4.866,V DC,24/10/2022 9:32:14.5,4.866,V DC,Interval,24/10/2022 9:32:15.5
20,4.8661,V DC,24/10/2022 9:32:15.5,0:00:01.0,24/10/2022 9:32:16.3,4.8669,V DC,4.86633,V DC,24/10/2022 9:32:15.5,4.8661,V DC,Interval,24/10/2022 9:32:16.5
21,4.8665,V DC,24/10/2022 9:32:16.5,0:00:01.0,24/10/2022 9:32:16.7,4.8674,V DC,4.86655,V DC,24/10/2022 9:32:16.6,4.8663,V DC,Interval,24/10/2022 9:32:17.5
