Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
1;24,4;°C;20.07.22 6:30:07,4;0:01:00,4;20.07.22 6:30:07,4;24,4;°C;23,9166666666667;°C;20.07.22 6:31:07,0;23,6;°C;Interval;20.07.22 6:31:07,8
2;23,7;°C;20.07.22 6:31:07,8;0:00:59,7;20.07.22 6:31:07,8;23,7;°C;23,62;°C;20.07.22 6:31:10,7;23,6;°C;Interval;20.07.22 6:32:07,5
3;23,6;°C;20.07.22 6:32:07,5;0:01:00,1;20.07.22 6:32:42,5;23,7;°C;23,6018633540373;°C;20.07.22 6:32:24,3;23,5;°C;Interval;20.07.22 6:33:07,6
4;23,6;°C;20.07.22 6:33:07,6;0:01:00,0;20.07.22 6:33:10,5;23,7;°C;23,667701863354;°C;20.07.22 6:33:07,6;23,6;°C;Interval;20.07.22 6:34:07,6
5;23,7;°C;20.07.22 6:34:07,6;0:01:00,1;20.07.22 6:34:52,8;23,8;°C;23,7006211180124;°C;20.07.22 6:34:08,7;23,6;°C;Interval;20.07.22 6:35:07,7
6;23,7;°C;20.07.22 6:35:07,7;0:01:00,0;20.07.22 6:35:13,3;23,8;°C;23,73;°C;20.07.22 6:35:07,7;23,7;°C;Interval;20.07.22 6:36:07,7
7;23,8;°C;20.07.22 6:36:07,7;0:00:59,7;20.07.22 6:36:07,7;23,8;°C;23,7874213836478;°C;20.07.22 6:36:08,8;23,7;°C;Interval;20.07.22 6:37:07,4
8;23,8;°C;20.07.22 6:37:07,4;0:01:00,1;20.07.22 6:37:59,7;23,9;°C;23,800625;°C;20.07.22 6:37:07,4;23,8;°C;Interval;20.07.22 6:38:07,5
9;23,8;°C;20.07.22 6:38:07,5;0:01:00,0;20.07.22 6:38:07,5;23,8;°C;23,8;°C;20.07.22 6:38:07,5;23,8;°C;Interval;20.07.22 6:39:07,6
10;23,8;°C;20.07.22 6:39:07,6;0:01:00,0;20.07.22 6:39:24,4;23,9;°C;23,803125;°C;20.07.22 6:39:07,6;23,8;°C;Interval;20.07.22 6:40:07,5
11;23,8;°C;20.07.22 6:40:07,5;0:01:00,2;20.07.22 6:40:56,0;23,9;°C;23,8;°C;20.07.22 6:40:08,7;23,7;°C;Interval;20.07.22 6:41:07,7
12;23,8;°C;20.07.22 6:41:07,7;0:00:59,7;20.07.22 6:41:07,7;23,8;°C;23,7987421383648;°C;20.07.22 6:41:26,4;23,7;°C;Interval;20.07.22 6:42:07,4
13;23,8;°C;20.07.22 6:42:07,4;0:01:00,0;20.07.22 6:42:57,3;23,9;°C;23,796875;°C;20.07.22 6:42:27,3;23,7;°C;Interval;20.07.22 6:43:07,5
14;23,9;°C;20.07.22 6:43:07,5;0:01:00,0;20.07.22 6:43:13,1;24;°C;23,89;°C;20.07.22 6:43:39,8;23,8;°C;Interval;20.07.22 6:44:07,5
15;23,8;°C;20.07.22 6:44:07,5;0:01:00,1;20.07.22 6:44:08,0;23,9;°C;23,820625;°C;20.07.22 6:44:07,5;23,8;°C;Interval;20.07.22 6:45:07,6
16;23,8;°C;20.07.22 6:45:07,6;0:01:00,0;20.07.22 6:45:07,6;23,8;°C;23,781875;°C;20.07.22 6:45:25,7;23,7;°C;Interval;20.07.22 6:46:07,6
17;23,8;°C;20.07.22 6:46:07,6;0:01:00,0;20.07.22 6:46:07,6;23,8;°C;23,730625;°C;20.07.22 6:46:08,0;23,7;°C;Interval;20.07.22 6:47:07,6
18;23,7;°C;20.07.22 6:47:07,6;0:01:00,2;20.07.22 6:47:08,1;23,8;°C;23,705;°C;20.07.22 6:47:07,6;23,7;°C;Interval;20.07.22 6:48:07,8
19;23,7;°C;20.07.22 6:48:07,8;0:00:59,7;20.07.22 6:48:10,0;23,8;°C;23,714465408805;°C;20.07.22 6:48:07,8;23,7;°C;Interval;20.07.22 6:49:07,5
20;23,7;°C;20.07.22 6:49:07,5;0:01:00,0;20.07.22 6:49:08,1;23,8;°C;23,706875;°C;20.07.22 6:49:07,5;23,7;°C;Interval;20.07.22 6:50:07,5
21;23,7;°C;20.07.22 6:50:07,5;0:01:00,0;20.07.22 6:50:07,5;23,7;°C;23,6975;°C;20.07.22 6:50:28,9;23,6;°C;Interval;20.07.22 6:51:07,5
22;23,7;°C;20.07.22 6:51:07,5;0:01:00,1;20.07.22 6:51:39,4;23,8;°C;23,706875;°C;20.07.22 6:51:09,1;23,6;°C;Interval;20.07.22 6:52:07,6
23;23,7;°C;20.07.22 6:52:07,6;0:01:00,0;20.07.22 6:52:11,3;23,8;°C;23,708125;°C;20.07.22 6:52:07,6;23,7;°C;Interval;20.07.22 6:53:07,6
24;23,7;°C;20.07.22 6:53:07,6;0:01:00,0;20.07.22 6:53:07,6;23,7;°C;23,695625;°C;20.07.22 6:53:21,1;23,6;°C;Interval;20.07.22 6:54:07,7
25;23,7;°C;20.07.22 6:54:07,7;0:01:00,1;20.07.22 6:54:07,7;23,7;°C;23,65875;°C;20.07.22 6:54:08,8;23,6;°C;Interval;20.07.22 6:55:07,8
26;23,6;°C;20.07.22 6:55:07,8;0:00:59,7;20.07.22 6:55:11,5;23,7;°C;23,6207547169811;°C;20.07.22 6:55:07,8;23,6;°C;Interval;20.07.22 6:56:07,5
27;23,6;°C;20.07.22 6:56:07,5;0:01:00,0;20.07.22 6:56:17,6;23,7;°C;23,6124223602484;°C;20.07.22 6:56:07,5;23,6;°C;Interval;20.07.22 6:57:07,5
28;23,6;°C;20.07.22 6:57:07,5;0:01:00,1;20.07.22 6:57:08,3;23,7;°C;23,6099378881988;°C;20.07.22 6:57:07,5;23,6;°C;Interval;20.07.22 6:58:07,6
29;23,6;°C;20.07.22 6:58:07,6;0:01:00,1;20.07.22 6:58:12,9;23,7;°C;23,6006211180124;°C;20.07.22 6:58:07,6;23,6;°C;Interval;20.07.22 6:59:07,7
30;23,6;°C;20.07.22 6:59:07,7;0:00:59,7;20.07.22 6:59:07,7;23,6;°C;23,580625;°C;20.07.22 6:59:11,7;23,5;°C;Interval;20.07.22 7:00:07,4
31;23,6;°C;20.07.22 7:00:07,4;0:01:00,1;20.07.22 7:00:07,4;23,6;°C;23,5621118012422;°C;20.07.22 7:00:07,7;23,5;°C;Interval;20.07.22 7:01:07,5
32;23,6;°C;20.07.22 7:01:07,5;0:01:00,0;20.07.22 7:01:07,5;23,6;°C;23,554375;°C;20.07.22 7:01:08,9;23,5;°C;Interval;20.07.22 7:02:07,4
33;23,5;°C;20.07.22 7:02:07,4;0:01:00,0;20.07.22 7:02:08,2;23,6;°C;23,5225;°C;20.07.22 7:02:07,4;23,5;°C;Interval;20.07.22 7:03:07,4
34;23,5;°C;20.07.22 7:03:07,4;0:01:00,2;20.07.22 7:03:21,4;23,6;°C;23,50625;°C;20.07.22 7:03:07,4;23,5;°C;Interval;20.07.22 7:04:07,6
35;23,5;°C;20.07.22 7:04:07,6;0:01:00,0;20.07.22 7:04:33,1;23,6;°C;23,50125;°C;20.07.22 7:05:04,3;23,4;°C;Interval;20.07.22 7:05:07,6
36;23,5;°C;20.07.22 7:05:07,6;0:01:00,0;20.07.22 7:05:07,6;23,5;°C;23,406875;°C;20.07.22 7:05:08,8;23,4;°C;Interval;20.07.22 7:06:07,6
37;23,4;°C;20.07.22 7:06:07,6;0:01:00,1;20.07.22 7:06:34,0;23,5;°C;23,410625;°C;20.07.22 7:06:07,6;23,4;°C;Interval;20.07.22 7:07:07,7
38;23,4;°C;20.07.22 7:07:07,7;0:00:59,7;20.07.22 7:07:08,9;23,5;°C;23,4578616352201;°C;20.07.22 7:07:07,7;23,4;°C;Interval;20.07.22 7:08:07,4
39;23,5;°C;20.07.22 7:08:07,4;0:01:00,0;20.07.22 7:08:07,4;23,5;°C;23,425;°C;20.07.22 7:08:07,8;23,4;°C;Interval;20.07.22 7:09:07,4
40;23,4;°C;20.07.22 7:09:07,4;0:01:00,0;20.07.22 7:09:13,9;23,5;°C;23,405625;°C;20.07.22 7:09:07,4;23,4;°C;Interval;20.07.22 7:10:07,4
41;23,4;°C;20.07.22 7:10:07,4;0:01:00,1;20.07.22 7:10:07,4;23,4;°C;23,39875;°C;20.07.22 7:10:52,5;23,3;°C;Interval;20.07.22 7:11:07,6
42;23,4;°C;20.07.22 7:11:07,6;0:01:00,0;20.07.22 7:11:07,6;23,4;°C;23,39;°C;20.07.22 7:11:27,4;23,3;°C;Interval;20.07.22 7:12:07,6
43;23,3;°C;20.07.22 7:12:07,6;0:01:00,0;20.07.22 7:12:07,9;23,4;°C;23,373125;°C;20.07.22 7:12:07,6;23,3;°C;Interval;20.07.22 7:13:07,6
44;23,4;°C;20.07.22 7:13:07,6;0:01:00,1;20.07.22 7:13:07,6;23,4;°C;23,36625;°C;20.07.22 7:13:08,0;23,3;°C;Interval;20.07.22 7:14:07,7
45;23,4;°C;20.07.22 7:14:07,7;0:01:00,0;20.07.22 7:14:07,7;23,4;°C;23,36125;°C;20.07.22 7:14:11,4;23,3;°C;Interval;20.07.22 7:15:07,7
46;23,3;°C;20.07.22 7:15:07,7;0:01:00,0;20.07.22 7:15:08,0;23,4;°C;23,348125;°C;20.07.22 7:15:07,7;23,3;°C;Interval;20.07.22 7:16:07,7
47;23,4;°C;20.07.22 7:16:07,7;0:01:00,2;20.07.22 7:16:07,7;23,4;°C;23,345;°C;20.07.22 7:16:08,5;23,3;°C;Interval;20.07.22 7:17:07,8
48;23,3;°C;20.07.22 7:17:07,8;0:00:59,7;20.07.22 7:17:09,0;23,4;°C;23,3188679245283;°C;20.07.22 7:17:07,8;23,3;°C;Interval;20.07.22 7:18:07,5
49;23,3;°C;20.07.22 7:18:07,5;0:01:00,0;20.07.22 7:18:08,6;23,4;°C;23,311875;°C;20.07.22 7:18:07,5;23,3;°C;Interval;20.07.22 7:19:07,5
50;23,3;°C;20.07.22 7:19:07,5;0:01:00,0;20.07.22 7:19:07,8;23,4;°C;23,310625;°C;20.07.22 7:19:07,5;23,3;°C;Interval;20.07.22 7:20:07,5
51;23,4;°C;20.07.22 7:20:07,5;0:01:00,1;20.07.22 7:20:07,5;23,4;°C;23,3175;°C;20.07.22 7:20:08,0;23,3;°C;Interval;20.07.22 7:21:07,6
52;23,3;°C;20.07.22 7:21:07,6;0:01:00,0;20.07.22 7:21:11,0;23,4;°C;23,3025;°C;20.07.22 7:21:07,6;23,3;°C;Interval;20.07.22 7:22:07,6
53;23,3;°C;20.07.22 7:22:07,6;0:01:00,0;20.07.22 7:22:11,8;23,4;°C;23,30375;°C;20.07.22 7:22:07,6;23,3;°C;Interval;20.07.22 7:23:07,6
